

Potencia 2

Pivote 1
1.	1155818
2.	1074650
3.	886669
4.	828849
5.	705986
6.	704262
7.	768737
8.	574732
9.	563580
10.	883440

Pivote 2
1.	892160
2.	713026
3.	1105364
4.	534094
5.	437282
6.	431236
7.	434017
8.	436091
9.	461735
10.	476506

Pivote 3
1.	446853
2.	446737
3.	453221
4.	456174
5.	475092
6.	441496
7.	477198
8.	454906
9.	470154
10.	456697


Potencia 3

Pivote 1
1.	4608457
2.	4523289
3.	5149952
4.	4394609
5.	4312006
6.	4373025
7.	4435689
8.	4419960
9.	4266390
10.	4295453

Pivote 2
1.	4768881
2.	3622750
3.	3650816
4.	3851048
5.	3853960
6.	3824803
7.	3837200
8.	4182746
9.	4152540
10.	4071136

Pivote 3
1.	3929296
2.	4478661
3.	4102295
4.	3830443
5.	3829455
6.	3707362
7.	3842956
8.	3954658
9.	3798198
10.	3763559


Potencia 4

Pivote 1
1.	41763487
2.	43113394
3.	47482409
4.	42048559
5.	42233217
6.	43925731
7.	43160323
8.	43731415
9.	41420330
10.	41277447

Pivote 2
1.	40727822
2.	39073235
3.	36747847
4.	37336054
5.	35883482
6.	36047600
7.	37226624
8.	36042994
9.	37922856
10.	36569542

Pivote 3
1.	35638778
2.	39972127
3.	38904554
4.	37493850
5.	38099766
6.	37663542
7.	37361444
8.	35254498
9.	35366571
10.	37199162


Potencia 5

Pivote 1
1.	456550146
2.	445018678
3.	429944599
4.	422728299
5.	415162466
6.	432508738
7.	419306242
8.	423315676
9.	427435336
10.	429691546

Pivote 2
1.	356815650
2.	372432371
3.	360708833
4.	365605353
5.	384829394
6.	389044558
7.	402772257
8.	404037888
9.	372858225
10.	374748465

Pivote 3
1.	375338542
2.	379986609
3.	361050777
4.	373716499
5.	372791446
6.	379423720
7.	375967122
8.	371361930
9.	370266437
10.	380504114


Potencia 6

Pivote 1
1.	4412372340
2.	4297377090
3.	4182368249
4.	4199686460
5.	4214227142
6.	4275492177
7.	4270530456
8.	4250052158
9.	4255597035
10.	4291845656

Pivote 2
1.	3540034324
2.	3455745389
3.	3653381924
4.	3539186920
5.	3556749150
6.	3660063874
7.	3708266354
8.	3591090823
9.	3641241213
10.	3530907227

Pivote 3
1.	3576962107
2.	3614370503
3.	3615702870
4.	3596667393
5.	3665588253
6.	3609882352
7.	3621347950
8.	3569255182
9.	3463165336
10.	3546272253


Potencia 7

Pivote 1
1.	41905331605
2.	41486026359
3.	41839264409
4.	41484886621
5.	42362305570
6.	41858607695
7.	41874139084
8.	41302844800
9.	42311181753
10.	41705279243

Pivote 2
1.	35951422230
2.	35192274261
3.	36635412943
4.	35262900827
5.	35509993833
6.	35797310633
7.	34615170595
8.	35027498872
9.	35247788971
10.	35552231181

Pivote 3
1.	35935434374
2.	35412554847
3.	36194493631
4.	36009015211
5.	35496926610
6.	35168378691
7.	34745390376
8.	35935749761
9.	35483882756
10.	35998706098


Potencia 8

Pivote 1
1.	431554242176
2.	431275945081
3.	439964686997
4.	447414805933
5.	432420764769
6.	10172860609319
7.	441589625852
8.	435211655826
9.	426457984468
10.	436838671408

Pivote 2
1.	373213850926
2.	378148353530
3.	381214145047
4.	374782890946
5.	373797217095
6.	368267592489
7.	374428590016
8.	374119425421
9.	373078196036
10.	366529411345

Pivote 3
1.	365821224673
2.	366305647152
3.	421838575199
4.	704535461713
5.	685047022908
6.	696653135922
7.	520036337595
8.	371689908201
9.	368221531262
10.	369733967402

Duracion total en milisegundos: 24028603
